description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,neg_log10_p,gene_ratio
"""Any complex formed of proteins that act in mismatch repair."" [GOC:mah]",22155,35928,4,"[['IBA', 'IEA'], ['IDA', 'IPI', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IPI', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mismatch repair complex,GO:0032300,3.246974486557024e-09,"['GO:0005622', 'GO:0032991']",0.2222222222222222,query_1,18,0.5,True,GO:CC,8,1259,15,8.488521123875087,0.2222222222222222
"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",20972,21571,11,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], [], [], [], ['TAS'], [], ['TAS'], [], ['IEA'], [], [], ['ISS', 'IBA', 'IEA']]",lymphocyte activation,GO:0046649,3.981745801655217e-09,['GO:0045321'],0.6470588235294118,query_1,17,0.013563501849568433,True,GO:BP,811,11448,19,8.399926469186132,0.6470588235294118
Non-small cell lung cancer,8716,39228,7,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], [], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], []]",Non-small cell lung cancer,KEGG:05223,4.236376613808127e-09,['KEGG:00000'],0.3888888888888889,query_1,18,0.0958904109589041,True,KEGG,73,490,38,8.373005438076317,0.3888888888888889
Platinum drug resistance,8716,38941,7,"[['KEGG'], ['KEGG'], [], ['KEGG'], [], [], ['KEGG'], [], [], [], ['KEGG'], [], ['KEGG'], [], ['KEGG'], [], [], []]",Platinum drug resistance,KEGG:01524,4.673783085994494e-09,['KEGG:00000'],0.3888888888888889,query_1,18,0.0945945945945946,True,KEGG,74,203,39,8.330331447429812,0.3888888888888889
Diseases of Mismatch Repair (MMR),11056,40122,4,"[['REAC'], ['REAC'], ['REAC'], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Diseases of Mismatch Repair (MMR),REAC:R-HSA-5423599,7.873200981050366e-09,['REAC:R-HSA-9675135'],0.2222222222222222,query_1,18,0.8,True,REAC,5,798,98,8.103848662079248,0.2222222222222222
EGFR tyrosine kinase inhibitor resistance,8716,38938,7,"[[], [], [], [], [], [], [], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], []]",EGFR tyrosine kinase inhibitor resistance,KEGG:01521,8.19554141464227e-09,['KEGG:00000'],0.3888888888888889,query_1,18,0.0875,True,KEGG,80,200,40,8.086422350742087,0.3888888888888889
Bladder cancer,8716,39224,6,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], [], [], [], ['KEGG'], ['KEGG'], [], ['KEGG'], []]",Bladder cancer,KEGG:05219,8.759519541950787e-09,['KEGG:00000'],0.3333333333333333,query_1,18,0.14634146341463414,True,KEGG,41,486,41,8.057519714151775,0.3333333333333333
Disease,11056,40109,16,"[['REAC'], ['REAC'], ['REAC'], ['REAC'], [], [], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",Disease,REAC:R-HSA-1643685,1.2279463952300052e-08,['REAC:0000000'],0.8888888888888888,query_1,18,0.008658008658008658,True,REAC,1848,785,98,7.910820591471678,0.8888888888888888
"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",20972,22814,15,"[['IEA'], [], ['IEA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], [], ['TAS', 'IEA'], ['IMP', 'ISS'], ['TAS', 'IEA'], ['IMP', 'ISS'], ['NAS', 'IEA'], [], ['IMP'], ['IDA', 'ISS', 'IEA']]",regulation of multicellular organismal process,GO:0051239,2.1350046162621664e-08,"['GO:0032501', 'GO:0050789']",0.8823529411764706,query_1,17,0.005131713992473486,True,GO:BP,2923,12691,19,7.670601181615529,0.8823529411764706
PI3K-Akt signaling pathway,8716,39032,10,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",PI3K-Akt signaling pathway,KEGG:04151,2.618934969461521e-08,['KEGG:00000'],0.5555555555555556,query_1,18,0.027932960893854747,True,KEGG,358,294,42,7.581875285368069,0.5555555555555556
PI3K/AKT Signaling in Cancer,11056,41067,7,"[[], [], [], [], [], [], [], [], [], [], ['REAC'], ['REAC'], ['REAC'], [], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",PI3K/AKT Signaling in Cancer,REAC:R-HSA-2219528,2.812755943141299e-08,['REAC:R-HSA-5663202'],0.3888888888888889,query_1,18,0.07291666666666667,True,REAC,96,1743,98,7.550867949009788,0.3888888888888889
"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",20972,20710,11,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], [], [], [], ['TAS'], [], ['TAS'], [], ['IEA'], [], [], ['IMP', 'ISS', 'IBA', 'IEA']]",leukocyte activation,GO:0045321,2.920629348164149e-08,"['GO:0001775', 'GO:0002376']",0.6470588235294118,query_1,17,0.011282051282051283,True,GO:BP,975,10587,19,7.53452355506374,0.6470588235294118
Hepatocellular carcinoma,8716,39230,8,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], ['KEGG'], []]",Hepatocellular carcinoma,KEGG:05225,4.176251033801437e-08,['KEGG:00000'],0.4444444444444444,query_1,18,0.047337278106508875,True,KEGG,169,492,43,7.3792134038472685,0.4444444444444444
"""Binding to a mismatch repair complex."" [GOC:vk]",20208,4138,4,"[['IDA'], ['IDA'], ['IDA'], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mismatch repair complex binding,GO:0032404,4.2095724024583384e-08,['GO:0044877'],0.2222222222222222,query_1,18,0.36363636363636365,True,GO:MF,11,4138,5,7.375762016440847,0.2222222222222222
Negative regulation of the PI3K/AKT network,11056,40968,7,"[[], [], [], [], [], [], [], [], [], [], ['REAC'], ['REAC'], ['REAC'], [], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",Negative regulation of the PI3K/AKT network,REAC:R-HSA-199418,4.9780749989429506e-08,['REAC:R-HSA-1257604'],0.3888888888888889,query_1,18,0.0673076923076923,True,REAC,104,1644,97,7.302938564661594,0.3888888888888889
"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",20972,22523,14,"[['IEA'], [], ['IEA'], ['IEA'], [], ['IDA', 'IBA'], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'ISS'], ['NAS', 'IEA'], [], ['IMP'], ['IDA', 'ISS', 'IEA']]",regulation of developmental process,GO:0050793,5.4366474801520574e-08,"['GO:0032502', 'GO:0050789']",0.8235294117647058,query_1,17,0.005758946935417524,True,GO:BP,2431,12400,19,7.264668826348692,0.8235294117647058
Prostate cancer,8716,39220,7,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], [], ['KEGG'], []]",Prostate cancer,KEGG:05215,6.107720030144446e-08,['KEGG:00000'],0.3888888888888889,query_1,18,0.0660377358490566,True,KEGG,106,482,44,7.21412087864739,0.3888888888888889
"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",20972,12556,13,"[['IEA'], ['ISS', 'IEA'], [], ['ISS', 'IEA'], ['IDA'], ['IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], [], [], ['IMP', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'TAS'], ['IBA'], [], ['IMP', 'IBA'], []]",apoptotic process,GO:0006915,6.500323870225206e-08,['GO:0012501'],0.7647058823529411,query_1,17,0.00684931506849315,True,GO:BP,1898,2433,19,7.18706500465751,0.7647058823529411
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:go_curators, ISBN:0582227089]",20972,13447,8,"[[], ['ISS', 'IEA'], [], ['ISS', 'IEA'], [], [], ['IDA', 'ISS', 'IEA'], ['IEA'], [], [], [], [], ['IDA'], ['IEP'], [], [], ['IDA'], ['IEA']]",response to light stimulus,GO:0009416,8.332624429303776e-08,['GO:0009314'],0.47058823529411764,query_1,17,0.025078369905956112,True,GO:BP,319,3324,19,7.07921819239212,0.47058823529411764
"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",20972,19973,12,"[[], [], [], ['ISS', 'IEA'], ['IDA'], ['IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IEA'], [], [], ['IMP', 'NAS', 'IEA'], [], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS'], ['IBA'], ['IMP'], ['IMP', 'IBA'], ['IEA']]",regulation of programmed cell death,GO:0043067,8.602182858087614e-08,"['GO:0012501', 'GO:0050794']",0.7058823529411765,query_1,17,0.0081799591002045,True,GO:BP,1467,9850,19,7.065391329810948,0.7058823529411765
"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",20972,14147,14,"[['IEA'], [], ['IEA'], ['IEA'], ['IDA', 'IEA'], [], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IDA'], [], [], ['IMP'], ['IDA', 'IMP', 'ISS', 'NAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'NAS'], ['IMP', 'IEA'], ['IDA'], ['IDA', 'IMP'], ['IDA', 'ISS', 'IEA']]",positive regulation of macromolecule biosynthetic process,GO:0010557,9.793654765571311e-08,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']",0.8235294117647058,query_1,17,0.005516154452324665,True,GO:BP,2538,4024,19,7.009055209287573,0.8235294117647058
Diseases of signal transduction by growth factor receptors and second messengers,11056,40135,10,"[[], [], [], [], [], [], ['REAC'], ['REAC'], [], [], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",Diseases of signal transduction by growth factor receptors and second messengers,REAC:R-HSA-5663202,1.1576361217406565e-07,['REAC:R-HSA-1643685'],0.5555555555555556,query_1,18,0.022271714922048998,True,REAC,449,811,98,6.93642793037909,0.5555555555555556
"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",20972,10550,11,"[['IEA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], [], [], [], ['TAS'], [], ['TAS'], [], ['IEA'], [], [], ['IMP', 'ISS', 'IBA', 'IEA']]",cell activation,GO:0001775,1.337257901303805e-07,"['GO:0009987', 'GO:0032501']",0.6470588235294118,query_1,17,0.009795191451469279,True,GO:BP,1123,427,19,6.873784827358909,0.6470588235294118
"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",20972,13713,14,"[['IEA'], [], ['IEA'], ['IEA'], ['IDA', 'IEA'], [], ['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IDA'], [], [], ['IMP'], ['IDA', 'IMP', 'ISS', 'NAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'NAS'], ['IMP', 'IEA'], ['IDA'], ['IDA', 'IMP'], ['IDA', 'ISS', 'IEA']]",positive regulation of biosynthetic process,GO:0009891,1.720478411048298e-07,"['GO:0009058', 'GO:0009889', 'GO:0009893']",0.8235294117647058,query_1,17,0.005293005671077505,True,GO:BP,2645,3590,19,6.764350772634112,0.8235294117647058
"""Binding to a double-stranded DNA region containing a G/T mispair."" [GOC:vk]",20208,4111,3,"[['IEA'], ['IDA', 'IEA'], [], ['IDA', 'IMP', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",guanine/thymine mispair binding,GO:0032137,1.7249537027814315e-07,['GO:0030983'],0.16666666666666666,query_1,18,1.0,True,GO:MF,3,4111,4,6.7632225567625195,0.16666666666666666
"""Binding to a double-stranded DNA region containing one or more mismatches."" [GOC:mah]",20208,3794,4,"[['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mismatched DNA binding,GO:0030983,1.737373858564726e-07,['GO:0003690'],0.2222222222222222,query_1,18,0.26666666666666666,True,GO:MF,15,3794,4,6.7601067173956695,0.2222222222222222
Proteoglycans in cancer,8716,39211,8,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], []]",Proteoglycans in cancer,KEGG:05205,1.8691593713690486e-07,['KEGG:00000'],0.4444444444444444,query_1,18,0.0392156862745098,True,KEGG,204,473,45,6.728353667505415,0.4444444444444444
"""The series of molecular signals initiated by a ligand binding to an insulin-like growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]",20972,21744,6,"[[], [], [], [], [], [], [], [], [], [], ['IEA'], [], ['IMP', 'IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",insulin-like growth factor receptor signaling pathway,GO:0048009,1.8714667040632946e-07,['GO:0007169'],0.35294117647058826,query_1,17,0.0594059405940594,True,GO:BP,101,11621,19,6.727817895170031,0.35294117647058826
"""Mutations occurring somatically that result in amino acid changes in the rearranged V regions of immunoglobulins."" [GOC:add, ISBN:0781735149, PMID:11205330, PMID:11205333, PMID:14975236, PMID:7813007]",20972,15096,4,"[['IBA', 'IEA'], ['ISS', 'IEA'], ['IBA', 'IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",somatic hypermutation of immunoglobulin genes,GO:0016446,3.0917964409545437e-07,"['GO:0002566', 'GO:0016445']",0.23529411764705882,query_1,17,0.3076923076923077,True,GO:BP,13,4973,19,6.509789107082409,0.23529411764705882
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a vascular endothelial growth factor stimulus."" [GOC:BHF, GOC:rl, PMID:18440775]",20972,18857,6,"[[], [], [], [], [], [], [], [], [], [], ['IGI'], [], ['IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",cellular response to vascular endothelial growth factor stimulus,GO:0035924,3.7107957441762663e-07,['GO:0071363'],0.35294117647058826,query_1,17,0.05309734513274336,True,GO:BP,113,8734,19,6.430532950156333,0.35294117647058826
"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",20972,19975,10,"[[], [], [], ['ISS', 'IEA'], [], [], ['IDA', 'IMP', 'IGI', 'IEA'], ['IEA'], [], [], ['IMP', 'NAS', 'IEA'], [], ['IDA', 'IMP', 'ISS', 'TAS', 'NAS', 'IEA'], ['ISS'], ['IBA'], ['IMP'], ['IMP', 'IBA'], ['IEA']]",negative regulation of programmed cell death,GO:0043069,3.804042665064926e-07,"['GO:0012501', 'GO:0043067', 'GO:0048523']",0.5882352941176471,query_1,17,0.011273957158962795,True,GO:BP,887,9852,19,6.419754620783426,0.5882352941176471
"""A molecule that recognises toxic DNA structures, and initiates a signaling response, driven by ATP hydrolysis."" [PMID:33302090, PMID:33510387]",20208,9393,4,"[['IEA'], ['IEA'], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",ATP-dependent DNA damage sensor activity,GO:0140664,3.8882972001061376e-07,"['GO:0008094', 'GO:0140612']",0.2222222222222222,query_1,18,0.2222222222222222,True,GO:MF,18,9393,3,6.4102405473894875,0.2222222222222222
Glioma,8716,39219,6,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], ['KEGG'], ['KEGG'], [], [], [], ['KEGG'], []]",Glioma,KEGG:05214,4.085757727268956e-07,['KEGG:00000'],0.3333333333333333,query_1,18,0.07894736842105263,True,KEGG,76,481,46,6.388727389252687,0.3333333333333333
"""The process in which immune receptor genes are diversified through somatic mutation."" [ISBN:0781735149, PMID:16102575]",20972,11164,4,"[['IBA', 'IEA'], ['ISS', 'IEA'], ['IBA', 'IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",somatic diversification of immune receptors via somatic mutation,GO:0002566,4.3263677322093905e-07,['GO:0002200'],0.23529411764705882,query_1,17,0.2857142857142857,True,GO:BP,14,1041,19,6.363876569205317,0.23529411764705882
Pancreatic cancer,8716,39217,6,"[[], [], [], [], [], [], ['KEGG'], ['KEGG'], [], [], ['KEGG'], [], ['KEGG'], [], ['KEGG'], [], ['KEGG'], []]",Pancreatic cancer,KEGG:05212,4.4257725894262177e-07,['KEGG:00000'],0.3333333333333333,query_1,18,0.07792207792207792,True,KEGG,77,479,47,6.354010905296845,0.3333333333333333
Generic Transcription Pathway,11056,40417,13,"[['REAC'], [], ['REAC'], ['REAC'], [], ['REAC'], ['REAC'], ['REAC'], [], [], [], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",Generic Transcription Pathway,REAC:R-HSA-212436,6.114794648161278e-07,['REAC:R-HSA-73857'],0.7222222222222222,query_1,18,0.010560519902518278,True,REAC,1231,1093,99,6.213618123201351,0.7222222222222222
"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]",20208,8415,13,"[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], [], ['EXP', 'IPI', 'IEA'], ['IEA'], [], [], ['IEA'], ['ISS'], ['IDA', 'IMP', 'ISS', 'TAS'], ['IEP'], [], ['EXP'], ['IDA'], []]",molecular function regulator activity,GO:0098772,6.200114118616897e-07,['GO:0003674'],0.7222222222222222,query_1,18,0.005736981465136805,True,GO:MF,2266,8415,3,6.207600316851829,0.7222222222222222
"""Binding to a double-stranded DNA region containing a single base insertion or deletion."" [GOC:vk]",20208,4112,3,"[[], ['IDA'], ['IDA'], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",single base insertion or deletion binding,GO:0032138,6.895973043413518e-07,['GO:0032135'],0.16666666666666666,query_1,18,0.75,True,GO:MF,4,4112,4,6.161404444851505,0.16666666666666666
"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",20972,12789,16,"[['IBA', 'IEA'], ['ISS', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], [], ['IDA', 'IBA'], ['IMP', 'IEA'], ['IEA'], ['IBA', 'IEA'], [], ['TAS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'ISS', 'TAS', 'IEA'], ['IMP', 'ISS'], ['IBA', 'NAS', 'IEA'], ['IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IEP', 'ISS', 'IEA']]",multicellular organism development,GO:0007275,7.577064043622479e-07,"['GO:0032501', 'GO:0048856']",0.9411764705882353,query_1,17,0.003411513859275053,True,GO:BP,4690,2666,19,6.120499041947576,0.9411764705882353
ErbB signaling pathway,8716,38990,6,"[[], [], [], [], [], [], [], ['KEGG'], [], [], ['KEGG'], [], ['KEGG'], ['KEGG'], ['KEGG'], [], ['KEGG'], []]",ErbB signaling pathway,KEGG:04012,8.086732107278656e-07,['KEGG:00000'],0.3333333333333333,query_1,18,0.07058823529411765,True,KEGG,85,252,48,6.092226943714868,0.3333333333333333
